제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
2017 루키...,웹툰작가,9.88,"옴니버스, 드라마",0,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 일곱번째 시즌!","['캠프', '지옥', '단편', '직접', '전설', '현세', '프로', '시즌', '이두']",0
구름의 노래,호랑,9.88,"옴니버스, 드라마",0,"삶을 풍요롭게 하는 음악 
밴드를 통해 삶으로부터 탈출하고자 하는 그들.노래를 통해 성장하고, 행복을 찾아간다.","['탈출', '성장', '행복', '풍요', '밴드', '음악', '노래']",0
놓정동화,신태훈 / 나승훈,9.93,"옴니버스, 개그",0,"여러분의 정신줄을 다시 한 번 놓게 할
새로운 동화가 시작된다!","['동화', '정신']",0
차차차,한나,9.94,"옴니버스, 드라마",0,"감성웹툰 <묵회> 한나 작가의 신작!

한가한 신생 찻집 '고운 다실'에서 일어나는 따뜻하고 소소한 이야기들",[' '],0
천리마 네버다이,김규삼,9.96,"옴니버스, 개그",0,<쌉니다 천리마마트> 드라마화 기념 특별외전반가운 천리마 마트 멤버들의 새로운 이야기!,"['전반', '가운', '마트', '기념', '멤버', '천리마', '특별', '드라마']",0
타투,노지현,9.19,"옴니버스, 드라마",0,"밝고 쾌활한 여고생 현진과 새로 오픈한 타투 가게의 진우, 유기를 중심으로 벌어지는 옴니버스!! 타투를 하러 오는 사람들에게 신비한 일이 일어나는데...과연 어떤일이 벌어질까요?","['유기', '가게', '오픈', '버스', '여고생', '신비', '중심', '옴니버스']",1
가령의 정체불...,가령,9.95,"옴니버스, 드라마",0,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,"['실적', '판타지', '현실', '어가', '총구', '회색빛', '연기', '비현']",0
아이들의 권 ...,호우,9.95,"옴니버스, 드라마",0,아이들의 히어로! 조폭 선생님과 다섯 꼬마들의 소소한 학교 일상 이야기.,"['학교', '소한', '일상', '히어로', '아이', '조폭', '다섯', '선생님', '꼬마']",1
우바우,잇선,9.97,"옴니버스, 일상",0,우리가 바라는 우리.시궁창 같은 삶이라도 바라는 건 많아.,['시궁'],0
사랑in,전세훈,9.51,"옴니버스, 로맨스",0,전세훈의 감성터치-사랑in우리들의 이야기가 수채화 물감처럼 잔잔한 감동으로. 잃어버린 추억과 설렘을 전해드립니다.,"['물감', '사랑', '터치', '감동', '감성', '추억', '수채화', '전세']",0
리얼주주,손태규,9.87,"옴니버스, 개그",0,"12지전사의 작가 손태규의 웹툰 데뷔작
리얼(?)한 동물원 리얼주주에서 벌어지는 아기자기한 이야기. 리얼주주로 놀러오세요.","['지전', '데뷔작', '사의', '리얼', '주주', '규의', '동물원']",0
호러전파상,봄소희 / 김선희,9.74,"옴니버스, 판타지",0,"""명심하세요. 전자기기로 인한 피해는 이 가게에서 책임지지 않습니다.""정체불명 전파상 주인 '야크'의 미스터리 호러","['야크', '가게', '미스터리', '주인', '정체', '불명', '전파', '전자기기', '피해', '명심']",0
2015 우주...,웹툰작가,9.54,"옴니버스, 판타지",0,광활한 우주를 배경으로 펼쳐지는 무한한 상상력네이버 웹툰 작가들이 선보이는 스페이스 오페라,"['우주', '스페이스', '배경', '오페라', '상상력', '무한']",0
고고루키루,한경찰,9.96,"옴니버스, 드라마",0,"정체불명의 3인조, 천진난만 켄, 카리스마 선녀, 쉬크노노
루키루가 만들어내는 황당무계하지만 따뜻한 이야기들. 지금부터 루키루와 함께 고고","['인조', '천진난만', '루가', '카리스마', '선녀', '불명', '지금', '정체불명']",0
2012 루키...,웹툰작가,9.49,"옴니버스, 드라마",0,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한8명의 신인 작가 단편선 시즌2로 컴백!","['컴백', '전설적', '단편', '신인', '직접', '호가', '전설', '현세', '프로', '시즌', '이두']",0
핑크레이디 클...,"연우, 서나",9.91,"옴니버스, 드라마",0,"핑크레이디의 그와 그녀가 돌아오다. 
겨울이와 현석이가 함께 떠나는 뒤죽박죽 미술사여행기","['겨울', '레이디', '핑크', '뒤죽박죽', '석이', '미술사', '여행기']",0
2016 루키...,웹툰작가,9.94,"옴니버스, 드라마",0,"전설 이현세, 이두호 작가가 직접 프로듀싱한 신인 작가 단편선그 여섯번째 시즌!","['단편', '신인', '직접', '전설', '현세', '프로', '시즌', '이두']",0
귀도,주동근,9.91,"옴니버스, 스릴러",0,귀신 본 적 있니?이제 내가 본 걸 얘기해줄게...,"['귀신', '내가', '이제', '얘기']",0
카라멜마끼아또,김명현,9.9,"옴니버스, 로맨스",0,"달콤한 커피처럼
은은하고, 포근한 사랑. 그 속에 스며들은 우리들의 이야기","['커피', '사랑']",0
킬러 김빵빵,김레옹,9.82,"옴니버스, 개그",0,사악한 킬러 김빵빵으로부터 위협받는 시민들너도 예외는 아니다!,"['사악', '시민', '예외', '위협', '킬러']",0
2014 루키...,웹툰작가,9.9,"옴니버스, 드라마",0,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한신인 작가 단편선 네번째 시즌!","['전설적', '단편', '신인', '직접', '호가', '전설', '현세', '프로', '시즌', '이두']",0
12차원 소년들,컷부,9.89,"옴니버스, 개그",0,소무하보다 더 강해진 녀석들이 돌아왔다. 차원을 넘나드는 소년들의 다양한 이야기,"['녀석', '소년', '차원', '다양']",0
한국만화거장전,한국만화가협회,9.9,"옴니버스, 일상",0,"한국만화의 전설을 만나다오늘날 한국만화를 있게 한 거장들이 들려주는 새로운 이야기,이제 웹툰으로 만나보세요!","['이제', '한국', '전설', '거장', '오늘날']",0
웨스트우드 비...,윤인완 / 김선희,9.92,"옴니버스, 드라마",0,"어떤 악기든, 원하는 선율을 찾아주는 남아프리카의 천재 악기 수리공 코넬리아 보보 워셔.
'아일랜드','신암행어사' 윤인완 작가와 '바둑 삼국지' 김선희 작가가 선보이는 음악과 드라마.","['수리공', '바둑', '선율', '악기', '삼국지', '암행', '아프리카', '천재', '아일랜드', '어사', '드라마', '음악']",0
내일은 럭키곰...,김풍,9.52,"옴니버스, 개그",0,"삼류라 불리는 인형이지만, 인간보다 더 인간적인 그들이 펼치는 배꼽빠지게 슬픈이야기","['인간적', '배꼽', '인형', '삼류']",0
연,구아진,9.78,"옴니버스, 스릴러",0,"구아바 작가의 옴니버스 스릴러 ‘연’오늘, 지금, 당신에게도 일어날 수 있는 일들.","['스릴러', '버스', '오늘', '구아', '지금', '옴니버스']",0
색으로 말하다,요한 / 김혜진,9.9,"옴니버스, 드라마",0,"나주시 천연염색문화관을 중심으로노란 치자빛으로 행복을, 붉은 홍화빛으로 열정을, 파란 쪽빛으로 조화를 이야기하다","['쪽빛', '홍화', '천연', '열정', '행복', '치자', '조화', '염색', '중심', '문화']",0
S라인,"꼬마비,앙마비",9.85,"옴니버스, 판타지",0,"가까운 미래, 사람들의 머리 위로 붉은 선이 이어진다.선의 정체는 무엇인가? 시간이 지나고 사람들은 붉은 선을S라인이라 부르기 시작한다.","['머리', '미래', '정체', '라인', '시간']",0
수사9단,김선권,9.9,"옴니버스, 스릴러",0,"자칭 수사9단 홍달기 반장과 형편없는 정보에 정통한 정보통 형사,그리고 고집불통 강호진과 조양이 함께하는 황당수사일지.당황스러운 사건을 황당하게 해결해 버립니다.","['반장', '정통', '불통', '강호', '달기', '형사', '조양', '정보통', '자칭', '진과', '당황', '고집', '정보', '수사', '사건', '해결']",0
소곤소곤,옛사람,9.97,"옴니버스, 스릴러",0,당신의 귓가에 속삭일 기묘한 이야기,['귓가'],0
