제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
1초,시니 / 광운,9.98,"스토리, 드라마",0,"구조율 100%의 전설적인 소방관.  그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것! 촌각을 다투는 진짜 소방관들의 이야기","['진짜', '전설적', '긴장', '구조', '미래', '전설', '촌각', '능력', '소방관', '특별']",0
후기,조석,9.95,"스토리, 스릴러",0,무가지에 연재되던 삼류 소설이 사실은 누군가의 살인 후기였다!,"['무가지', '후기', '소설', '연재', '사실', '살인', '삼류']",0
이번 생도 잘...,이혜,9.98,"스토리, 로맨스",0,19회차 인생 로맨스의 최대 라이벌은 18회차 때의 나?전생을 기억하는 여자의 저돌적 로맨스,"['저돌적', '인생', '회차', '저돌', '로맨스', '최대', '라이벌', '기억', '전생']",0
튜토리얼 탑의...,방구석김씨 / 오...,9.32,"스토리, 액션",0,저주로 인해 튜토리얼 탑에 갇힌 헌터. 레벨업을 하며 넘사벽 능력을 갖게 된 그가 12년 만에 탑 밖의 세상에 나간다!,"['레벨', '저주', '사벽', '능력', '토리', '세상']",0
사신소년,류,9.92,"스토리, 액션",0,"수명을 대가로 죽은 자의 능력을 빌리는 소년! 화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!","['액션', '자의', '수명', '능력', '플레이', '소년', '한계', '두뇌', '스포츠', '대가', '화려']",0
여주실격!,기맹기,9.94,"스토리, 드라마",0,'약'한 여배우 천리사더이상 배우같은건 하고 싶지 않다던그녀의 복귀 스토리!,"['스토리', '복귀', '배우', '여배우', '이상']",0
나노마신,현절무 / 금강불괴,9.95,"스토리, 판타지",0,"갖은 멸시와 목숨의 위협을 받던 마교의 사생아 천여운, 미래에서 나타난 후손이 천여운의 몸에 나노 머신을 주입한 후 그의 인생이 송두리째 바뀐다.마교를 넘어 무림 최고의 자리에 오르기 위한 천여운의 거침없는 이야기가 시작된다!","['후손', '천여', '인생', '멸시', '송두리', '미래', '나노', '최고', '무림', '자리', '주입', '사생아', '위협', '목숨', '머신']",0
장씨세가 호위...,조형근 / 김인호,9.97,"스토리, 시대극",0,‘당신이 부른 것이오. 나란 사람을... ’은둔고수 광휘. 호위무사 되다.웹소설 원작 웰메이드 무협 시대극!,"['광휘', '무사', '고수', '소설', '이드', '시대극', '호위', '무협', '원작', '은둔']",0
힙한남자,혜니,9.74,"스토리, 로맨스",0,"국내 요가복 회사 2위 ‘립앤힙’의 대표인 성가은,그토록 찾던 물복반 딱복반 엉덩이를 만나다..?!<구구까까> 혜니 작가의 신작!","['까까', '복반', '회사', '국내', '엉덩이', '요가', '성가', '구구', '대표인', '대표']",0
개를 낳았다,이선,9.97,"스토리, 드라마",0,사랑스러운 너와의 첫 만남부터 이별까지. 서툰 주인과 강아지 명동이가 함께 성장해나가는 이야기.,"['너와', '사랑', '성장', '강아지', '주인', '만남', '이별']",0
초인의 시대,섭이,9.96,"스토리, 액션",0,"지구에 근원 모를 괴물들이 출현하고그들을 제압하는 '초인'들 또한 등장한다.정체불명의 괴물과 초인, 바야흐로 '초인의 시대'가 도래한다!","['초인', '출현', '지구', '등장', '근원', '제압', '불명', '인의', '시대', '정체불명', '괴물', '도래']",0
헬58,장성준,9.95,"스토리, 액션",1,"약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신. 주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까?","['다툼', '약육강식', '지옥', '탈출', '권력', '희망', '주인공', '배신', '암투', '서민']",0
신도림,오세형,9.95,"스토리, 액션",0,세상이 무너지고 세워진 지하도시 신도림그곳에 들어가지 못하고 생존한 소년들이 지하도시의 비밀을 파헤친다,"['생존', '도시', '비밀', '도림', '지하', '소년', '세상']",0
중증외상센터 ...,한산이가 / 홍비...,9.97,"스토리, 드라마",0,"살 수 있는 환자들이 죽어 가고 있다. 이제 더는 그런 일이 없도록 하겠다.사명감 있는 또라이. 중증외상센터의 난폭한 천사. 외상외과 전문의 백강혁, 그의 중증외상센터 되살리기 프로젝트.","['외과', '사명감', '센터', '환자', '프로젝트', '중증', '천사', '전문의', '외상', '난폭', '또라이', '전문']",0
파이게임,배진수,9.93,"스토리, 스릴러",0,시간이 흐르면 돈이 쌓인다.피가 흐르면 시간이 쌓인다.<머니게임>의 후속편!,"['후속', '머니', '게임', '시간']",0
화이트 블러드,임리나,9.97,"스토리, 판타지",0,스타일리쉬 뱀파이어 액션!그리고 처절한 로맨스..,"['뱀파이어', '액션', '처절', '로맨스', '스타일']",0
맘마미안,미티 / 구구,9.96,"스토리, 드라마",0,아들보다 어려진 엄마?!다 큰 아들의 목숨을 건 엄마 뒷바라지!,"['아들', '목숨', '엄마', '뒷바라지']",0
캐슬,정연,9.97,"스토리, 액션",0,"복수를 위해 칼을 갈아온 특급 킬러 '김신',뒷세계 '절대권력'과의 목숨 건 한판 승부!","['세계', '권력', '승부', '복수', '절대', '킬러', '한판', '목숨', '특급']",0
노답소녀,석우,9.87,"스토리, 로맨스",0,<하나의 하루> 석우 작가의 신작! 재벌가 손녀인 가빈은 친구 한 명 없는 왕따에 성격까지 노답이다. 5억원을 대가로 가빈을 비밀리에 경호하기 위해 전학 온 태웅. 과연 태웅은 정체를 숨긴 채 가빈을 잘 경호할 수 있을까?,"['왕따', '친구', '하루', '경호', '재벌', '성격', '정체', '손녀', '가빈', '전학', '비밀리', '하나', '대가']",1
앵무살수,김성진,9.97,"스토리, 판타지",0,평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,"['전설적', '후계자', '검법', '정체', '뱃사공', '전설', '소하', '비서', '근경', '구파', '진시황', '수행']",0
남주의 첫날밤...,"황도톨,티바 / ...",9.97,"스토리, 로맨스",0,소설 속 엑스트라인 백작 영애 리플리로 빙의 된 여주인공.이왕 이렇게 된 거 전생에 경험하지 못한 귀족의 화려하고 풍족한 삶을 만끽하기로 한다.파티장 구석에서 혼자 술을 즐긴 것까진 기억나는데… 다음날 깨어보니 남주의 침대에 누워있는 것 아닌가!,"['만끽', '백작', '귀족', '빙의', '여주인공', '경험', '소설', '다음', '구석', '엑스트라', '전생', '주의', '영애', '혼자', '파티장', '화려', '다음날', '리플', '침대']",0
하드캐리,조양,9.91,"스토리, 드라마",0,"성격은 소심하지만 게임 실력 하나는 천상계 최고인 '도윤'과공부, 인성, 외모, 게임 실력 어디 하나 부족한 것 없는 '수호'의 본격 프로게이머 도전기!","['게임', '도전', '본격', '부족', '수호', '성격', '외모', '게이', '공부', '천상계', '최고', '인성', '하나', '프로', '실력', '전기']",0
왕년엔 용사님,고샤 / 솔렘,9.93,"스토리, 판타지",0,"동네 슈퍼 아줌마 '명옥'에게어딘가 낯익은 불청객이 찾아온다.""뭐?! 마왕을 봉인해달라니, 난 올해로 49살이라고!!""","['올해', '아줌마', '슈퍼', '불청객', '마왕', '봉인', '동네']",0
소녀재판,루즌아 / 보로콤,9.73,"스토리, 드라마",0,학교에서 아무것도 아니었던 소녀의 예측불허 재판이 시작된다!평범한 박가을은 소위 '잘나가는 그룹'에 속하는 한유현의 비밀스러운 사건을 목격하고이를 이용해 한유현을 협박해서 본인이 동경했던 그룹에 속하고 싶어하는데...,"['학교', '가을', '아무것', '유현', '동경', '평범', '예측', '비밀', '목격', '이용', '본인', '재판', '그룹', '소녀', '불허', '협박', '사건']",1
레사 시즌2~3,POGO,9.97,"스토리, 판타지",0,"어둠을 따르는 자와, 빛을 따르려는 자. 마침내 모두에게 공평한 멸망의 때가 왔다...! 멸망을 막기 위한 신들의 전쟁.","['모두', '어둠', '전쟁', '멸망', '공평']",0
스터디그룹,신형욱 / 유승연,9.96,"스토리, 액션",0,최악의 깡패소굴 유성공고. 교내 유일 스터디그룹의 피튀기는 생존기,"['깡패', '생존', '스터디', '최악', '유일', '소굴', '그룹', '유성', '교내', '공고']",1
원수를 사랑하라,정윤 / 태건,9.95,"스토리, 로맨스",0,"고생 끝, 인생 리셋!.... 도 못했는데 과거를 들키다?!늦깎이 대학생 배연희의 고군분투 캠퍼스 로맨스!","['인생', '분투', '캠퍼스', '연희', '대학생', '고군분투', '고군', '고생', '늦깎이', '로맨스', '과거']",0
사상최강,황규영 / 이단아,9.52,"스토리, 판타지",0,‘천하 십대 고수’라고 불리는 자들. 인간의 한계를 뛰어넘은 그들은 서로를 견제하며 힘의 균형과 세상의 질서를 유지해왔다.바로 ‘백도현’ 그가 나타나 전까지는! 내공만으로 사상최강의 힘을 가진 남자 백도현의 시원한 한 방!,"['균형', '질서', '시원', '서로', '최강', '사상', '견제', '고수', '십대', '천하', '내공', '한계', '유지', '세상']",0
고삼무쌍,B급달궁 / 하마,9.94,"스토리, 액션",0,천년간 사라진 무림이 현대 고등학교를 배경으로  되살아난다!무림인들의 고교습격! 장르파괴 무협학원액션,"['고교', '장르', '학원', '액션', '배경', '습격', '무림', '파괴', '현대', '고등학교', '무협', '천년']",1
유일무이 로맨스,두부,9.98,"스토리, 로맨스",0,평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 사심가득 탑스타♥,"['가득', '일상', '절정', '무이', '유일', '인기', '배우', '침범', '아이', '스타', '사심']",0
전자오락수호대,가스파드,9.97,"스토리, 판타지",0,아무도 모르게 게임을 굴리는 비밀의 일꾼들.최고 요원 패치의 게임 조난 굴곡사!,"['게임', '치의', '비밀', '최고', '일꾼', '요원', '조난', '굴곡']",0
뫼신 사냥꾼,윤현승 / 방승현,9.87,"스토리, 판타지",0,"신령과도 같은 짐승인 뫼신.떠돌이 무사 한세희는 그들을 사냥하고, 그의 앞에 신비한 힘을 가진 소녀가 나타나는데...","['신령', '무사', '신비', '짐승', '소녀', '떠돌이', '사냥']",0
성인초딩,미티,9.56,"스토리, 드라마",0,32살 내 몸에 9살 나의 영혼이 들어왔다!대신 32살의 나는 게임기 안에 갇혀버렸네?!,"['게임기', '영혼', '게임', '살의']",0
천하제일인,권순규 / 신권이,9.87,"스토리, 액션",0,"걸렸다하면 영혼까지 탈탈 털어 참교육 시켜주시는 화악골 심부름꾼, 소마.가공할 마령성의 위협으로부터 화악골을 지켜야 하는데...​지킬 수... 있을까??","['가공', '주시', '악골', '소마', '마령', '심부름', '영혼', '위협', '참교육']",0
입학용병,YC / 락현,9.76,"스토리, 액션",0,"어린 시절 비행기 추락 사고의 유일한 생존자 유이진. 살아남기 위해 용병으로 살아가던 유이진은 10년 후, 가족이 있는 고향으로 돌아왔다.","['유일한', '용병', '생존자', '이진', '가족', '사고', '비행기', '고향', '시절', '추락']",0
