idx,name,score,writer,age_limit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,keywords
127,오빠야 누나야,9.62,긴유,0,1,0,1,0,0,0,0,0,0,0,0,0,[]
128,열정호구,9.93,솔뱅이,0,1,0,0,0,0,0,1,0,0,0,0,0,"['전설적', '단편', '신인', '직접', '호가', '전설', '현세', '프로', '이두']"
129,2011 루키 단편선-지옥캠프,9.81,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['진짜', '일상', '환자', '가슴', '생활', '생활기', '입장', '병원']"
130,한국만화 또 다른 시선,9.75,웹툰작가,0,1,0,0,0,0,0,1,0,0,0,0,0,"['보물섬', '단편', '한국', '거장', '시대', '잡지', '풍미']"
131,구름의 이동속도,9.98,김이랑,0,1,0,1,0,0,0,0,0,0,0,0,0,['유부']
132,잡다한컷,9.91,그림왕양치기,0,1,0,0,0,0,0,0,1,0,0,0,0,"['어가', '행복', '살의', '물음']"
133,아이키우는만화,9.46,쇼쇼,0,1,0,0,0,0,0,1,0,0,0,0,0,"['인생', '웃음', '사랑']"
134,홍차리브레,9.98,꼬모소이,0,1,0,1,0,0,0,0,0,0,0,0,0,"['세계', '릴레이', '축하', '개편', '카툰', '만화가', '프로', '다양']"
135,오늘도 핸드메이드!,9.97,소영,0,1,0,0,0,0,0,1,0,0,0,0,0,"['아침', '오빠', '성덕', '한번']"
136,개편 축하 릴레이 카툰,9.55,네이버웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['레벨', '아기', '출산', '세상']"
137,창공의 타이양사무소,9.96,박유나,0,1,0,0,0,0,0,1,0,0,0,0,0,"['유일한', '고교', '탈출', '완의', '목표', '생활', '수저', '홍상']"
138,성공한 덕후,9.89,옛사람,0,1,0,0,0,0,0,0,1,0,0,0,0,['보기']
139,아이돌 연구소,9.45,해마,0,1,0,0,1,0,0,0,0,0,0,0,0,"['주인공', '주인', '오타쿠', '공이', '존재']"
140,만 화 고,7.21,김8,0,1,0,0,1,0,0,0,0,0,0,0,0,"['지금', '연구소', '아이']"
141,만화사랑 캠페인,6.27,웹툰작가,0,1,0,0,0,0,0,1,0,0,0,0,0,"['세계', '감수성', '도자기', '문화재', '오늘', '상상', '현대', '현대적', '무엇']"
142,도자기,9.78,호연,0,1,0,0,1,0,0,0,0,0,0,0,0,"['소한', '도시', '암흑']"
143,내 여자친구는 상남자,9.97,맛스타,0,1,0,0,0,0,0,0,0,0,0,0,0,"['하루', '친구', '아침', '판타지', '엉망진창', '지은이', '코믹', '로맨스']"
144,암흑도시,9.93,정뱅,0,1,0,0,0,0,0,1,0,0,0,0,0,"['취직', '파트', '만화가', '아린', '어시', '직업', '고료', '생활고', '세월', '동생', '출근', '타임', '발등', '직장인', '회사일', '파트타임', '필요', '첫날', '상사', '작업실', '회사', '부족', '월급', '사고', '의심']"
145,불괴,9.4,폭주필,0,1,0,0,0,0,1,0,0,0,0,0,0,"['맹이', '백기', '전대', '생양', '흡수', '아치', '고수', '타파', '파괴', '무림', '위기', '내공', '절체절명', '양아치', '절명']"
146,움비처럼,9.89,권혁주,0,1,0,0,0,0,0,0,1,0,0,0,0,"['일상', '느림', '추구', '정화', '마음', '즐거움']"
147,Yes my boss(예스마이보스),9.97,김밀콩,0,1,0,1,0,0,0,0,0,0,0,0,0,"['각계각층', '재용', '현우', '하일', '각층', '최고', '각계', '전문가', '말년', '만남', '만화가', '대표', '제석']"
148,엄마와 딸 x2,9.97,필냉이,0,1,0,0,0,1,0,0,0,0,0,0,0,"['인생', '인물']"
149,내일은 웹툰,9.88,신의철,0,1,0,1,0,0,0,0,0,0,0,0,0,"['모녀', '본격', '외할머니', '생활', '인자', '삼대', '생활기', '엄마']"
150,2인용 인간,9.86,WONDER,0,1,0,0,1,0,0,0,0,0,0,0,0,['내일']
151,와장창창! 자취맨,9.95,폭타,0,1,0,1,0,0,0,0,0,0,0,0,0,"['진창', '인생', '엉망진창', '엉망', '리얼', '자취']"
152,까뱅,8.82,X-TEAM,0,1,0,0,0,0,0,1,0,0,0,0,0,"['밀접', '방문', '여리', '트라', '우마', '있음', '입양', '관계', '눈치', '계기', '치료', '이사장', '국회의원', '관련', '어머니', '과거', '연관', '과정', '재단', '한국', '코앞', '새봄', '사실', '기억', '확인', '화재', '시절', '박정', '사건', '선거']"
