제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
패밀리 사이즈,남지은 / 김인호,9.96,"에피소드, 일상",0,삼형제와 이제막 태어난 막내딸까지!결혼 십 년 차에 가족의 규모(패밀리 사이즈)가 부쩍 커진한 만화가 부부의 육아와 삶 이야기,"['만화가', '사이즈', '결혼', '형제', '규모', '막내딸', '육아', '패밀리', '부부', '가족']",0
터치! 메리크리스마스,웹툰작가,9.78,"에피소드, 일상",0,"요즘은 뭘 하며 지내고 있을까?  
근황이 궁금했던 작가들이 돌아왔다!
개성 만점 크리스마스 단편선을 스마트툰으로 만나보세요","['요즘', '무엇', '근황', '만점', '단편', '크리스마스']",0
203호 저승사자,샤니,9.91,"에피소드, 개그",0,어느날 저승사자가 찾아왔다.그런데 이 저승사자... 제 정신이 아니다.,"['정신', '저승사자']",0
공포단편선X,김대일,9.71,"에피소드, 스릴러",0,작가 ‘김대일’의 섬뜩한 연출력이 만든 <공포단편선 X>! 이색적인 공포 이야기들을 단편으로 다양하게 보여준다. 끝나는 순간까지 결과를 예측할 수 없는 공포가 다가온다.,"['결과', '연출력', '다양', '예측', '이색적', '대일', '단편', '공포', '이색']",0
달콤한 인생,이동건,9.95,"에피소드, 일상",0,"커플과 싱글들의 달콤한 이야기
직장인과 백수들의 달콤한 에피소드
...그런데 왜 이렇게 씁쓸한거지?","['거지', '백수', '커플', '에피소드', '싱글', '직장인']",0
자취로운 생활,츄카피,9.96,"에피소드, 일상",0,츄카피의 신개념 방구석 서바이벌(?) 자취툰,"['방구석', '자취', '개념']",0
와라! 편의점,지강민,9.85,"에피소드, 개그",0,"우리 동네 편의점도 피해갈 수 없다!!
편의점에서 일어나는 여러가지 에피소드들을 그린 본격 버라이어티 편의점 만화!!","['동네', '점도', '편의점', '피해', '편의', '에피소드', '본격']",0
가우스전자 시즌3~4,곽백수,9.97,"에피소드, 개그",0,다국적 문어발 기업 가우스전자에서 벌어지는웃픈 현실 직장인 이야기,"['다국적', '기업', '현실', '문어발', '직장인', '전자', '가우스']",0
아랫집 시누이,김진,9.95,"에피소드, 일상",0,"대를 물려 내려오는 고부갈등? 노노!시월드, 이제는 무섭지 않아요!","['고부', '갈등', '이제']",0
지옥,연상호 / 최규석,9.77,"에피소드, 스릴러",0,어느날 갑자기 인간들이 직면한 기적인지 저주인지 알 수 없는 초자연적 현상.감당할 수 없는 현실을 감당하기 위해 사람들이 만들어 가는 지옥.부산행 '연상호' 감독과 '송곳'의 최규석 작가가 만났다!,"['직면', '현상', '초자연', '현실', '기적', '지옥', '부산', '감당', '송곳', '규석', '상호', '저주', '감독']",0
