idx,name,score,writer,age_limit
475,이중첩자,9.92,피숙혜,0
476,아르세니아의 마법사,9.84,박성호,0
477,숲속의 담,9.98,다홍,0
478,카루나,9.85,강호진,0
479,정보전사 202,9.13,이작가,0
480,라일락 200%,9.95,아니영,0
481,구독금지,9.92,김이연,0
482,소녀180,9.95,나우원,0
483,에리타,9.94,d몬,0
484,손 잡아 볼래?,9.86,예타쿠,0
485,운수 오진 날,9.58,아포리아,0
486,"저무는 해, 시린 눈",9.96,MURO,0
487,완벽한 가족,9.94,냥빠,0
488,백년게임,9.70,하람,0
489,도플갱어의 게임,9.94,킹스날,0
490,트럼프,9.97,이채은,0
491,시효완성,9.75,"삼바, 미스터리 ...",0
492,나의 우주,9.93,공이,0
493,평행도시,9.95,고다,0
494,동네몬스터,9.84,이현민,0
495,두근두근 네가 좋아서,9.93,서혜은,0
496,괴물신부,9.94,상범,0
497,링크보이,9.79,광진,0
498,언메이크,9.83,박화랑,0
499,나쁜 쪽으로,9.74,오은,0
500,보물과 괴물의 도시,9.94,이을,0
501,조선홍보대행사 조대박,9.86,김양수,0
502,그날 죽은 나는,9.97,이언,0
503,미드나잇 체이서,9.69,석재윤,0
504,도를 아십니까,9.89,이건,0
505,감히,9.87,희나리,0
506,잉여특공대,9.74,물꾹,0
507,인간졸업,9.83,진자,0
508,스테어스,9.52,옹구,0
509,몽홀,9.93,장태산,0
510,너에게만 보이는,9.97,소소만,0
511,불릿 6미리,9.85,김도근,0
512,피노키오 소녀,9.75,망순,1
513,손아귀,9.93,황정훈,0
514,선녀야 야옹해봐!,9.78,햄톨탱크,0
515,악령주의보,9.90,토마토모닝,0
516,필살VS로맨스,9.97,구르,0
517,커넥트,9.58,신대성,0
518,안식의 밤,9.93,연제원,0
519,아테나 컴플렉스,9.88,케이사르,0
520,언데드,9.83,김우준,0
521,9등급 뒤집기,9.17,아백,0
522,꼬맹이를 부탁해!,9.97,마라링,0
523,원하는 건 너 하나,8.84,"달콤J,박성실",0
524,지구멸망버튼,9.71,박장고,0
525,아이고 아이고,9.92,하모,0
526,안녕 나의 모모로,9.97,켄타,0
527,더 게이머,8.56,성상영,0
528,아침을 지나 밤으로,9.94,손지은,0
529,여기 악마가 있어,9.89,맷집왕,0
530,버그,6.90,해마,0
531,스윗솔티,9.97,달삐,0
532,저세상 클라스!,9.95,꾀돌이,0
533,온새미로,9.89,여우,0
534,헬로맨스,9.69,이공주,0
535,하슬라,9.93,까를로스,0
536,뱀파이어의 꽃,9.85,카나리아,0
537,도사 가온,9.89,김상민,0
538,기억흔적,9.91,브라보 장,0
539,인간의 온도,9.90,이재익,0
540,천도,9.89,진작,0
541,후아유!,9.96,이범,0
542,무주의 맹시,9.95,마누비,0
543,왕세자 입학도,9.98,무번,0
544,신이 담긴 아이,9.89,건치,0
545,스캔들,9.80,"달콤J,티바",0
546,깁스맨,9.85,맹물,0
547,드로잉 레시피,9.96,꼬모소이,0
548,인문학적 감수성,9.86,교날,0
549,소녀 해미,9.64,이현우,0
550,가담항설,9.98,랑또,0
551,장단에 맞춰줘!,9.80,햇님,0
552,이런 영웅은 싫어,9.97,삼촌,0
553,빛빛빛,9.92,수진,0
554,모락모락 왕세자님,9.87,원해,0
555,데이즈,6.89,양수,0
556,오늘도 사랑하세요,9.81,하찌,0
557,백호랑,9.92,박혬,0
558,저승사자 출입금지,9.81,심웅섭,0
559,밤하늘에 구름운,9.96,견지,0
560,"안녕, 이바다씨",9.90,문나영,0
561,Here U Are,9.65,D JUN,0
